Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
19,1197.0,4,0,58014,10,1575,3,399000.0,2013,5,1
9,1497.0,4,0,48000,10,410,1,364000.0,2013,5,1
19,1197.0,4,2,99005,10,1583,3,350000.0,2014,5,1
19,1197.0,4,1,75000,10,1575,1,445000.0,2014,5,1
29,1496.0,4,1,78156,10,2034,1,660000.0,2018,5,0
30,1498.0,1,0,36432,10,217,3,520000.0,2016,5,0
19,1197.0,4,0,51000,10,1575,1,470000.0,2017,5,1
15,2993.0,1,0,59000,10,1281,1,12800000.0,2018,5,0
27,1984.0,4,1,39000,10,1056,1,3495000.0000000005,2022,7,0
21,1950.0,1,0,36000,10,724,1,4050000.0,2019,5,0
19,998.0,0,1,42000,10,1864,1,590000.0,2021,5,1
19,1462.0,4,1,23035,10,696,1,950000.0,2021,7,1
10,1197.0,4,0,51195,10,828,3,469000.00000000006,2018,5,0
19,998.0,0,1,12700,10,1869,1,540000.0,2019,5,1
1,2993.0,1,1,52000,10,64,1,4350000.0,2018,4,0
19,1462.0,4,1,22500,10,393,1,1080000.0,2022,5,0
21,1950.0,1,0,21000,10,724,1,4275000.0,2020,5,0
9,1199.0,4,0,50000,10,984,3,390000.0,2015,5,1
18,2179.0,1,0,54147,10,1984,1,811000.0,2017,7,0
18,2498.0,1,1,53517,10,2030,1,411000.00000000006,2012,7,1
30,1498.0,1,2,75000,10,218,3,640000.0,2019,5,1
9,1498.0,1,2,80000,10,1859,1,715000.0,2018,5,1
10,1591.0,4,1,99000,10,522,1,995000.0,2018,5,0
30,999.0,4,0,23845,10,1627,1,1298000.0,2023,5,0
26,999.0,4,1,3900,10,1017,1,395000.0,2019,5,0
14,2199.0,1,1,49000,10,332,1,3150000.0,2021,7,0
9,1199.0,4,1,28000,10,1861,1,715000.0,2017,5,1
17,1451.0,4,1,33000,10,885,1,1275000.0,2019,5,0
19,1197.0,4,3,50457,10,249,1,505000.0,2018,5,0
